//Vanilla
Invert X|Spiegel X
Back to options|Terug naar opties
round per level|ronde per level
Medium wildlife|Middelmatig aantal wild
SESSION RESULTS|SESSIE RESULTATEN
Finding Changes|Veranderingen Zoeken
Fast map reveal|Snelle kaart onthulling
Extra tutorials|Extra tutorials
Easier dropwigs|Makkelijkere valzetters
Quality of Life|Quality of Life
Unlock Slugpups|Ontgrendel Slakwelpen
expedition-name|Expeditie
Leave me alone!|Laat me alleen!
Please stop it!|Alsjeblieft, stop!
Little creature|Klein wezen
objecttype-PuffBall|Spoordons
objecttype-WaterNut|Bubbelvrucht
objecttype-Mushroom|Paddenstoel
creaturetype-Spider|Spin
creaturetype-BigEel|Leviathan
creaturetype-EggBug|Eierdrager
The Monk-linebreaks|De Monnik
Speedrun Validation|Speedrun Validatie
switch_controls_map|R Knop
Showing level names|Level namen aan het bekijken
ps4_region_map_help|Druk op R1 om de regionale kaart te bekijken
Successful cycles :|Succesvolle cyclussen :
Helped Five Pebbles|Vijf Kiezels geholpen
New arenas unlocked|Nieuwe arenas ontgrendeld
mod_menu_apply_mods|Mod veranderingen aan het aanbrengen, even geduld...
mod_menu_enable_all|Schakel alle mods in
Creating index maps|Index kaarten maken
OpDragger_MouseTuto|Houd de muisknop ingedrukt en sleep omhoog of omlaag om de waarde aan te passen
MenuModStat_MapTuto|Houd <Button> ingedrukt om controls te controleren
Loading screen tips|Laadscherm tips
Hunter Bonus Cycles|De Jager's Bonus Cyclussen
Visual breath meter|Zichtbare luchtmeter
Scavenger headshots|Schooier headshots
NONE (User Defined)|GEEN (User Defined)
rwremix-description|Een grote variatie aan configurabele toegankelijkheids- en door de community aangevraagde functies, inclusief nieuwe spelmechanieken en bonusfuncties. Gebruik het configuratiescherm om individuele functies aan en uit te zetten.
Hello <PlayerName>.|Hallo <PlayerName>.
still, very... bad.|nog steeds, erg... slecht.
I will take a look.|Ik zal een kijkje nemen.
There you go again.|Daar ga je weer.
again... leaving...|alweer... weggaan...
objecttype-ScavengerBomb|Granaat
creaturetype-GreenLizard|Groene Hagedis
creaturetype-WhiteLizard|Witte Hagedis
creaturetype-BlackLizard|Zwarte Hagedis
creaturetype-GarbageWorm|Vuilnis Worm
creaturetype-TempleGuard|Wachter
creaturetype-VultureGrub|Gierenaas
creaturetype-KingVulture|Gieren Koning
Predator has become prey|Jager is prooi geworden
The Chieftain-linebreaks|Het Opperhoofd
Here is a strange energy|Hier is een vreemde energie
switch_pause_help_pickup|Druk om voorwerpen op te pakken
Change screen resolution|Verander scherm resolutie
Arena mode music volume:|Arena modus muziek volume:
switch_controls_movement|Linker Stick
switch_controls_hold_map|Houd de R Knop vast
Showing level thumbnails|Level thumbnails bekijken
ps4_fast_travel_map_help|Druk op R1 om een schuilplaats te selecteren waarvan je wilt verdergaan
ps4_save_progress_failed|Fout opgetreden bij het opslaan van voortgang data.
ps4_load_progress_failed|Voortgang save data is beschadigd en wordt verwijderd
mod_menu_load_order_down|Wanneer je mod veranderingen samenvoegt, breng dan deze mod eerder aan dan anderen. Dit kan helpen met het oplossen van mod conflicten.
OpComboBox_MouseOpenTuto|Klik om de lijst te openen
OpScrollBox_NonMouseTuto|Druk op BEVESTIGEN en gebruik de joystick om meer te zien
OpSimpleButton_MouseTuto|Druk op de muisknop om te activeren
ModdingMenu_ControlThrow|Teruggaan / Annuleren
MenuModStat_ModsDownpour|Voorverpakte mods:
Keep snails out of pipes|Houd slakken uit pijpen
Additional lizard voices|Extra hagedis stemmen
Splashes alert creatures|Plonsen waarschuwt wezens
Disable shelter failures|Schakel schuilplaats defecten uit
Unlock all sandbox items|Ontgrendel alle sandbox voorwerpen
moreslugcats-description|Een uitbreiding die vijf nieuwe speelbare campagnes toevoegt, elk uniek in hun plaats in de tijdlijn. Deze uitbreiding bevat nieuwe gebieden, wezens, voorwerpen, muziek, alternatieve eindes, nieuwe spelmodussen en nog veel meer.
...is this reaching you?|...komt dit bij jou binnen?
Oh, <PlayerName>. Hello!|Oh, <PlayerName>. Hallo!
Oh, <PlayerName>. Hello.|Oh, <PlayerName>. Hallo.
Oh... I will look at it.|Oh... ik zal erna kijken.
Oh... I will take a look|Oh... ik zal een kijkje nemen
...rain... coming... Go!|...de regen... komt eraan... Ga!
...please... be still...|...alsjeblieft... blijf stil...
Prevents falling off from poles when throwing objects|Voorkomt het vallen van palen wanneer voorwerpen worden gegooid
Swim boosting will not consume additional breath time|Zwem boosten gebruikt geen extra lucht
Removes visual effects that cause the screen to shake|Verwijdert visuele effecten die het scherm laten schudden
Are you sure you want to disable ALL karma mechanics?|Weet je zeker dat je ALLE karma mechanieken wilt uitschakelen?
Mod's thumbnail image must be less than 1 MB in size.|De mod's thumbnail afbeelding moet minder dan 1 MB in grootte zijn.
Your account is locked or has a community or VAC ban.|Je account is locked of heeft een community of VAC ban.
The workshop service is unavailable. Try again later.|Deze workshop service is niet beschikbaar. Probeer het later nog eens.
Yet another gift? You're quite curious, <PlayerName>!|Nog een geschenk? Je bent behoorlijk nieuwsgierig, <PlayerName>!
STORY|VERHAAL
ARENA|ARENA
REMIX|REMIX
Cycle|Cyclus
Music|Muziek
INPUT|INPUT
Pause|Pauzeren
Throw|Gooien
Right|Rechts
Cross|Kruis
Space|Spatie
Shift|Shift
PLAY!|SPELEN!
Play!|Speel!
ERROR|ERROR
SCORE|SCORE
ROUND|RONDE
APPLY|TOEPASSEN
Other|Andere
Remix|Remix
...me|...ik
Oh...|Oh...
STOP!|STOP!
no...|nee...
EXIT|VERLATEN
Run!|Ren!
Jump|Springen
Move|Bewegen
Left|Links
Down|Omlaag
Back|Terug
Food|Eten
EDIT|AANPASSEN
PLAY|SPELEN
BACK|TERUG
NEXT|VOLGENDE
You!|Jij!
You.|Jij.
Restart game|Herstart spel
THE SURVIVOR|DE OVERLEVER
The Exterior|De Buitenkant
Five Pebbles|Vijf Kiezels
Subterranean|Onderaards
The Survivor|De Overlever
The Wanderer|De Dwaler
A New Friend|Een Nieuwe Vriend
You are full|Je zit vol
Leap the gap|Spring over het gat
View credits|Bekijk de credits
Pause Button|Pauzeren Knop
Throw Button|Gooien Knop
Select level|Selecteer een level
Low wildlife|Laag aantal wild
Level Items:|Level Voorwerpen:
Barren level|Onherbergzaam level
IT'S A DRAW!|GELIJK SPEL!
Add creature|Wezen toevoegen
Minor Assist|Kleine Hulp
Major Assist|Grote Hulp
CLOSE MANUAL|HANDLEIDING SLUITEN
rwremix-name|Rain World Remix
...please...|...alsjeblieft...
A nimble omnivore, both predator and prey. Lost in a harsh and indifferent<LINE>land you must make your own way, with wit and caution as your greatest assets.|Een handige alleseter, zowel jager als prooi. Verdwaald in een harde en onverschillige<LINE>wereld moet je je eigen pad maken, met je verstand en voorzichtigheid als jouw grootste pluspunten.
Weak of body but strong of spirit. In tune with the mysteries of the world and<LINE>empathetic to its creatures, your journey will be a significantly more peaceful one.|Zwak van lichaam maar sterk van geest. Afgestemd op de mysteries van de wereld en<LINE>empatisch naar zijn wezens, jouw reis zal aanzienlijk vrediger zijn.
Strong and quick, with a fierce metabolism requiring a steady diet of meat. But the<LINE>stomach wont be your only concern, as the path of the hunter is one of extreme peril.|Sterk en snel, met een krachtige metabolisme dat vraagt om een constant dieet van vlees. Maar de<LINE>maag is niet jouw enige probleem, want de pad van de jager is er een van extreem periel.
Five Pebbles (Unfortunate Development)|Vijf Kiezels (Onfortuinlijke Ontwikkeling)
Six Grains of Gravel, Mountains Abound|Zes Korrels Grind, Bergen in Overvloed
Jump and grab them. They're delicious!|Spring en grijp ze. Ze zijn heerlijk!
Takes input from any connected gamepad|Neemt input van elk verbonden apparaat
switch_controls_singlejoyconl_movement|Linker Stick
switch_controls_singlejoyconr_movement|Rechter Stick
Unlock all the Trophies in Rain World!|Ontgrendel alle Trofeeën in Rain World!
MenuModList_ModButton_Disable_NonMouse|Druk op BEVESTIGEN om de mod uit te schakelen, houd BEVESTIGEN ingedrukt en gebruik de joystick om de laad volgorde te wisselen
MenuModList_ModButton_NonMouse_Display|Druk op BEVESTIGEN om <Mod> te laten zien
ConfigTabController_TabScrollButton_Up|Druk en houdt de muisknop ingedrukt om de lijst omhoog te scrollen
ConfigTabController_TabScrollButton_Dw|Druk en houdt de muisknop ingedrukt om de lijst omlaag te scrollen
The following cheats contain spoilers.|De volgende cheats bevatten spoilers.
Mod uploaded with Unlisted visibility.|Mod geüpload met Unlisted zichtbaarheid.
Ah... <PlayerName>, you're here again!|Ah... <PlayerName>, je bent er weer!
Ah... <PlayerName>, you're here again.|Ah... <PlayerName>, je bent er weer.
I must ask you... Don't do that again.|Ik moet je vragen... Doe dat niet nog een keer.
Rain... You better go. I will be fine.|De regen... Je kunt beter gaan. Ik red me wel.
<CapPlayerName>... Please settle down.|<CapPlayerName>... Zit alsjeblieft stil.
Yes, there you go. This is ridiculous.|Ja, daar ga je. Dit is belachelijk.
Five Pebbles (Recursive Transform Array)|Vijf Kiezels (Recursieve Transformatie Reeks)
You need to eat meat to sustain yourself|Je moet vlees eten om jezelf in staande te houden
Default singleplayer<LINE>keyboard setup|Standaard singleplayer<LINE>toetsenbord setup
OpKeyBinder_ErrorConflictOtherModDefault|Conflicterende standaard knop met <ModID>
MenuModList_ModButton_NonMouse_Configure|Druk op BEVESTIGEN om <Mod> te configureren
You are not currently logged into Steam.|Je bent nu niet ingelogd op Steam.
Yes, help yourself. They are not edible.|Ja, help jezelf. Ze zijn niet eetbaar.
This pearl has been written to just now!|Op deze parel is zojuist geschreven!
Droplets upon Five Large Droplets|Druppels bovenop Vijf Grote Druppels
Game Over - Press BACK to restart|Game Over - Druk op TERUG om te herstarten
3 - CHOOSE PRESET OR BIND BUTTONS|3 - KIES PRESET OF BIND KNOPPEN
OpKeyBinder_ErrorConflictOtherMod|Conflictende knop met <AnotherModID>
OpKeyBinder_MouseJoystickBindTuto|Druk op een knop om het te binden (ESC om te ontbinden, CTRL + Num om controller nummer in te stellen)
ConfigContainer_AlertCopyCosmetic|Kopieerde <Text> naar clipboard
ConfigMenuTab_BackHoldButton_Desc|Terug naar het hoofdmenu (zonder mods aan te brengen!)
Passage progress without Survivor|Doorgang voortgang zonder Overlever
I will not speak to you any more.|I zal niet meer met jou spreken.
You encountered the echo of Droplets upon Five Large Droplets|Je ontmoette de echo van Druppels boven Vijf Grote Druppels
Press while holding down direction (crouching) to drop object|Druk terwijl je omlaag ingedrukt houd (bukken) om het voorwerp te laten vallen
You must activate this mod before attempting to configure it.|Je moet deze mod activeren voordat je hem kan configureren.
I won't tolerate this. Leave immediately and don't come back.|Ik zal dit niet tolereren. Vertrek onmiddellijk en kom niet meer terug.
As you can see, I have nothing for you. Not even my memories.|Zoals je kan zien, heb ik niets voor jou. Niet eens mijn herinneringen.
Here we go again, little archeologist. Let's read your pearl.|Daar gaan we weer, kleine archeoloog. Laten we de parel gaan lezen.
You encountered the echo of Four Needles under Plentiful Leaves|Je ontmoette de echo van Vier Naalden onder Overvloedige Bladen
Show a visual indicator on the UI of your remaining breath time|Laat een visuele indicator zien van je overgebleven hoeveelheid lucht
Lizards can pull embedded spears out of walls with their tongue|Hagedissen kunnen vastzittende speren uit muren trekken met hun tong
Failed to acquire User Generated Content lock. Try again later.|Gefaald om de User Generated Content lock te verkrijgen. Probeer het later nog eens.
You encountered the echo of Nineteen Spades, Endless Reflections|Je ontmoette de echo van Negentien Schoppen, Eindeloze Reflecties
Warning, too many creatures may result in poor game performance.|Waarschuwing, teveel wezens kan resulteren in slechte spel performance.
Reduces the amount of time taken to get started with a new cycle|Verkort de tijd die het duurt om te beginnen met een nieuwe cyclus
One of your workshop mods already has the same name as this one.|Een van jouw workshop mods heeft al dezelfde naam als deze.
I appreciate what you have done but it is time for you to leave.|Ik waardeer wat je hebt gedaan, maar het is tijd voor jou om te gaan.
Let us see... to be honest, I'm as curious to see it as you are.|Laat eens zien... om eerlijk te zijn, ben ik net zo nieuwsgierig als jij om het te zien.
You encountered the echo of Six Grains of Gravel, Mountains Abound|Je ontmoette de echo van Zes Korrels Grind, Bergen in Overvloed
You must apply new mods setup before attempting to configure them.|Je moet wachtende veranderingen aan de modlijst aanbrengen voordat je mods gaat configureren.
Stops Hunter from automatically grabbing batflies with a free hand|Stopt De Jager van het automatisch grijpen van Vleervliegen met een vrije hand
Increases the radius of Monk's hologram light in pitch-black areas|Vergroot de radius van De Monnik's hologram licht in pikzwarte gebieden
Prevents the chance of waking up early before the rain has stopped|Voorkomt de kans om eerder wakker te worden voordat de regen is gestopt
(Normally requires finding Red unlock tokens in the campaign maps)|(Benodigt normaal het vinden van Rode ontgrendel tokens in de campagne kaarten)
<CapPlayerName>, if you do that, I will not speak to you any more.|<CapPlayerName>, als je dat doet, zal ik niet meer met je spreken.
The highest enlightenment, achieved by the hardest path. A feat even the guardians must respect.|De hoogste verlichting, bereikt via de moeilijkste weg. Een prestatie die zelfs de wachters moeten respecteren.
Standard Remix settings. Many mechanical tweaks that may mix up the way the game is experienced.|Standaard Remix instellingen. Veel mechanische tweaks die de manier waarop het spel wordt ervaren kunnen veranderen.
When crouching, hold the JUMP button without giving any other input|Tijdens het bukken, houd Springen ingedrukt zonder een andere input te geven
Allow players to exit when rain is close or only one player is left|Sta spelers toe te verlaten wanneer de regen dichtbij is of als er één speler over is
Reduces the overall speed of the game to assist with reaction times|Verlaagt de snelheid van het spel om te assisteren met reactiesnelheid
(Normally requires finding Blue unlock tokens in the campaign maps)|(Benodigt normaal gesproken het vinden van blauwe ontgrendel tokens in de campagne kaarten)
??????????????????????????????????????????????????????????????????™|??????????????????????????????????????????????????????????????????™
Something new you want me to look at,<LINE>I suppose, <PlayerName>?|Iets nieuws dat je me wilt laten zien,<LINE>neem ik aan, <PlayerName>?
Go explore! There is food and shelter to be found, but beware of predators.|Ga op ontdekking! Er is eten en schuilplaatsen te vinden, maar pas op voor roofdieren.
Prevents underwater shortcut symbols from being obscured by the water layer|Voorkomt dat onderwater sluipweg symbolen worden verborgen door de water laag
Changes the amount of bonus cycles Hunter can receive during their campaign|Verandert het aantal bonus cyclussen dat De Jager kan krijgen tijdens hun campagne
The current session playtime will always be visible as a UI element in-game|Jouw totale speeltijd voor een personage is altijd zichtbaar als een UI-element in-spel tijdens campagne’s
This option significantly decreases the difficulty of Artificer's campaign.|Deze optie verlaagt de moeilijkheid in De Schepper’s campagne aanzienelijk.
Your account is in read-only mode due to a recent password or email change.|Je account is in read-only modus door een recente wachtwoord of email wijziging.
This creature is dehydrated. You can carry it back to water.|Dit wezen is uitgedroogd. Je kan het terugdragen naar water.
Prevent injured creatures from fleeing to dens in arena mode|Voorkomt dat gewonde wezens naar holen vluchten in de arena modus
Increases the amount of underwater breath time that Monk has|Vergroot de hoeveelheid lucht dat De Monnik onderwater heeft
(Normally requires completing all Challenge Mode challenges)|(Benodigt normaal gesproken het completen van alle Uitdagingsmodus uitdagingen)
Best of luck to you, little creature. I must resume my work.|Veel geluk, klein wezen. Ik moet verder met mijn werk.
Never do that again. Or just kill me quickly. Whichever way.|Doe dat nooit meer. Of dood me snel. Maakt niet uit.
I think we have already talked about this one, <PlayerName>.|Ik denk dat we hier al over gepraat hebben, <PlayerName>.
Larger prey needs to be incapacitated first|Groter prooi moet eerst uitgeschakeld worden
Little creature. This is your last warning.|Klein wezen. Dit is jouw laatste waarschuwing.
Please don't... take... more from me... Go.|Neem alsjeblieft... niet… meer van me... Ga.
And yet another one! I will read it to you.|En nog eentje! Ik zal het voor je lezen.
I've told you about this one, <PlayerName>.|Ik heb je hier al over verteld, <PlayerName>.
And now you expect me to continue speaking?|En nu verwacht je me te blijven spreken?
It's a delicious plant. You should have it!|Het is een heerlijke plant. Je moet het proberen!
It is possible to hibernate with less than sufficient food|Het is mogelijk om te slapen met minder dan het benodigde voedsel
It is not recommended to use these on a first playthrough.|Het is niet aanbevolen om deze bij een eerste playthrough te gebruiken.
This mod already exists on the workshop by another author.|Deze mod is al op de workshop door een andere auteer.
Release that, and leave. I will not speak to you any more.|Laat dat los, en ga. Ik zal niet meer met je spreken.
Thank you... That is a little better. Thank you, creature.|Dank je... Dat is wat beter. Dank je wel, wezen.
In a shelter, hold DOWN for several seconds to force hibernate|In een schuilplaats, houd OMLAAG ingedrukt voor een aantal seconden om gedwongen te slapen
Multiplies the total duration of the rain timer by this amount|Vermenigvuldigt de totale duur van de regen timer bij zoveel
The rain timer makes a tick-tock noise while the UI is visible|De regen timer maakt een tik-tak geluid terwijl de UI zichtbaar is
Vultures that appear in dark rooms are cloaked by the darkness|Gieren die verschijnen in donkere kamers worden verborgen door de duisternis
Press CONTINUE after accepting the End User License Agreement.|Druk op VERDERGAAN nadat je de End User License Overeenkomst hebt geaccepteerd.
Press CONTINUE to view and/or edit your uploaded workshop mod.|Druk op VERDERGAAN om je geüploade workshop mod te bekijken en/of bij te werken.
WARNING!<LINE>This will reset all progress in the selected save slot,<LINE>including map exploration. Unlocked arenas and<LINE>sandbox items are retained.|WAARSCHUWING!<LINE>Dit zal alle voortgang in de geselecteerde opslag slot resetten,<LINE>inclusief kaart verkenning. Ontgrendelde arenas en<LINE>sandbox voorwerpen blijven bewaard.
WARNING!<LINE>This will reset all of your progress except map exploration.|WAARSCHUWING!<LINE>Dit zal al je voortgang resetten behalve kaart verkenning.
WARNING! Too many creatures may result in bad game performance or crashes.|WAARSCHUWING! Te veel wezens kan resulteren in slecht spel performance of crashes.
Please log in to STOVE Client with the account that has purchased the game|Log in naar STOVE Client met het account dat gebruikt werd om het spel te kopen
Gives the player the ability to dislodge spears that are embedded in walls|Laat spelers speren uit muren trekken
(One time use) Fast travel to any discovered shelter, recovering all karma|(Ééntijdig gebruik) Teleporteer naar elke ontdekte schuilplaats, hersteld al je karma
WARNING! This will reset all of your progress except map exploration.|WAARSCHUWING! Dit zal al je voortgang resetten behalve kaart verkenning.
Red Lizards have a tongue and can snap spears in half with their bite|Rode Hagedissen hebben een tong en kunnen speren doormidden bijten
(Normally requires finding Orange unlock tokens in the campaign maps)|(Benodigt normaal gesproken het vinden van Oranje ontgrendel tokens in de campagne kaarten)
The intended gameplay loop is to have to actively hunt fresh corpses.|De bedoelde gameplay loop is om actief op verse karkassen te jagen.
Some of the metadata for this mod was invalid and cannot be accepted.|Sommige van de metadata voor deze mod is invalid en kan niet worden geaccepteerd.
Maybe this is asking too much... But, would you bring me another one?|Misschien is dit teveel gevraagd... Maar, kun je me er nog een brengen?
The rain is coming. If you stay, you will drown. Now, leave me alone.|De regen komt eraan. Als je blijft, zal je verdrinken. Laat me nu alleen.
Show information on loading screens that helps verify settings used and the legitimacy of runs.|Laat informatie zien op laadschermen die helpen bij het verifiëren van instellingen en de legitimiteit van de run.
Give a grace period on cycle start and region entry before scavenger kill squads can attack you|Geef een gratieperiode bij het begin van de cyclus en het betreden van een gebied voordat schooier moordploegen je kunnen aanvallen
Advantageous glitches and speedrunner exploits are made available to use again with this option|Nuttige glitches en speedrunner exploits worden weer beschikbaar gemaakt met deze optie
Similar to the original Rain World experience, but with a few quality of life settings enabled.|Gelijk aan de originele Rain World ervaring, maar met een paar quality of life instellingen ingeschakeld.
Map|Kaart
Esc|Esc
Yes|Ja
YES|JA
HUD|HUD
run|rennen
Up|Omhoog
R1|R1
RB|RB
ok|OKÉ
No|Nee
NO|NEE
Assign player <X> to the default keyboard controls|Wijs speler <X> de standaard toetsenbord controls toe
Increase the speed that the minimap reveals itself|Vergroot de snelheid waarmee de minikaart verschijnt
(Normally requires completing Gourmand's campaign)|(Benodigt normaal gesproken het completen van de Bourgondiër's campagne)
This menu contains cheats to unlock content early.|Dit menu bevat cheats die content eerder ontgrendelen.
What are you? If I had my memories I would know...|Wat ben jij? Als ik mijn herinneringen had zou ik het weten...
If you behave like this, why should I talk to you?|Als je je zo gedraagt, waarom zou ik dan met jou praten?
Paused - Warning! Quitting after 30 seconds into a cycle counts as a loss|Gepauzeerd - Waarschuwing! Stoppen nadat er 30 seconden in een cyclus voorbij zijn, geldt als een verlies
By comparison, the RELAXED preset may weaken the overall game experience.|Ter vergelijking, de RELAXED preset kan de spelervaring verzwakken.
(Normally requires completing campaigns and clearing previous challenges)|(Benodigt normaal gesproken het completen van campagnes en vorige uitdagingen)
Shelter failures give periodic reprieves by providing longer cycle times.|Schuilplaats defecten geven periodiek gratie door langere cyclus tijden te geven.
Paused - Warning! Quitting without saving in a shelter will permanently end your game|Gepauzeerd - Waarschuwing! Stoppen zonder op te slaan in een schuilplaats eindigt je spel permanent
For all campaigns, gates will remain open permanently after passing through them once|Voor alle campagnes zullen poorten permanent open blijven nadat ze één keer zijn gepasseerd
Spearing a scavenger directly in their head will do significantly more damage to them|Het steken van een schooier met een speer direct in hun hoofd doet aanzienlijk meer schade
The maximum number of subsequent explosion actions Artificer can perform before dying|Het maximaal aantal van opeenvolgende explosieve acties dat De Schepper kan uitvoeren zonder dood te gaan
Limit exceeded. You may need to reduce the filesize or remove prior workshop content.|Limiet overschreden. Je moet de bestandsgrootte verminderen of vorige workshop content verwijderen.
A little animal, on the floor of my chamber. I think I know what you are looking for.|Een klein dier, op de vloer van mijn kamer. Ik denk dat ik weet waar je naar zoekt.
Really exit? Note that quitting after 30 seconds into a cycle counts as a loss.|Het spel echt verlaten? Houd er rekening mee dat stoppen nadat er 30 seconden in een cyclus voorbij zijn, telt als een verlies.
You get these at Five Pebbles'?<LINE>Thank you so much. I'm sure he won't mind.|Vond je deze bij Vijf Kiezels?<LINE>Dank je wel. Ik weet zeker dat hij dat niet erg vindt.
Create custom scenarios using levels, items and creatures<LINE>that have been unlocked in the single player campaigns.<LINE>Defeating creatures or other actions can be set to award points,<LINE>but Sandbox is mostly about customization and fun!|Creëer aangepaste scenario's met levels, voorwerpen en wezens<LINE>die zijn ontgrendeld in de verhaalcampagnes.<LINE>Het verslaan van wezens of andere acties kan ingesteld worden om punten toe te reiken,<LINE>maar Sandbox gaat vooral om de aanpasbaarheid en plezier!
For you though, there is another way. The old path. Go to the west past the Farm Arrays, and then down into the earth<LINE>where the land fissures, as deep as you can reach, where the ancients built their temples and danced their silly rituals.|Maar voor jou is er een andere manier. De oude manier. Ga naar het westen langs de Akkerrijen, en dan diep in de aarde<LINE>waar het land openscheurt, zo diep als je kan reiken, waar de Ouden hun tempels bouwden en hun dwaze rituelen dansten.
Compete in a battle against each other and the elements.<LINE>In this mode points are awarded for food items consumed,<LINE>with surviving players always ranking above dead players.<LINE>New levels, items and creatures can be unlocked in the<LINE>single player campaigns.|Ga de strijd aan in een gevecht tegen elkaar en de elementen.<LINE>In deze modus worden punten toegekend voor geconsumeerde voedselpunten,<LINE>waar overlevende spelers altijd hoger in de ranglijst komen dan dode spelers.<LINE>Nieuwe levels, voorwerpen en wezens kunnen worden ontgrendeld in de<LINE>verhaal campagnes.
No items except what you place in the editor|Geen voorwerpen behalve hetgene dat geplaatst wordt in de editor
Allow players above a specific score to exit|Sta spelers boven een specifieke score toe het level verlaten
MenuModList_ModButton_NonMouse_Blank_Console|Druk op LINKS om de schakelknop voor deze inhoud te bewegen
ConfigTabController_TabSelectButton_NamedTab|Wissel naar tab <TabName>
This mod cannot be uploaded to the Workshop.|Deze mod kan niet geüpload worden naar de Workshop.
It's still warm... this was in use recently.|Het is nog warm... deze was recentelijk in gebruik.
W|W
L|L
Press the MAP button to select the shelter you wish to continue from|Druk op de KAART knop om de schuilplaats te selecteren waarvan je wilt verdergaan
These are recommended starting points based on different playstyles.|Dit zijn aanbevolen startpunten gebaseerd op verschillende speelstijlen.
It also largely negates the game's difficulty curve and progression.|Het negeert ook voor het grote deel het spel's moeilijkheids curve en voortgang.
(Normally requires finding Green unlock tokens in the campaign maps)|(Benodigt normaal gesproken het vinden van Groene ontgrendel tokens in de campagne kaarten)
“Go west, past the Farm Arrays and then down deep into the earth...”|“Ga naar het westen langs de Akkerrijen en dan diep in de aarde...”
JUMP/THROW buttons - Switch layers<LINE>PICK UP button - Select shelter|SPRINGEN/GOOIEN knoppen - Wissel van lagen<LINE>OPPAKKEN knop - Selecteer schuilplaats
Allow passing any gate for free, regardless of your current karma level|Laat de speler gratis poorten passeren, ongeacht het huidige karma level
Hide the remaining cycle time while in maps that are safe from the rain|Verberg de overgebleven cyclus tijd terwijl je in ruimtes bent die veilig zijn van de regen
And this one is fresh! It was not long ago this data was written to it!|En deze is vers! Er was nog niet lang geleden data ingeschreven!
Please sign in to PlayStation™Network to view leaderboards.|Log in op het PlayStation™Network om Leiderborden te zien.
Progress towards Trophies will only be tracked for player 1|Voortgang voor Trofeeën wordt alleen bijgehouden voor Speler 1
This may SIGNIFICANTLY alter your experience with the game.|Dit kan je ervaring met het spel AANZIENLIJK veranderen.
(Normally requires completing previous campaigns to unlock)|(Benodigt normaal gesproken dat vorige campagnes compleet zijn om dit te ontgrendelen)
Stop doing... this, or I... will not speak... to you again.|Stop met... dat, of ik... zal niet meer... met je spreken.
You have been signed out from PlayStation™Network. Please connect to PlayStation™Network to view Leaderboards.|Je bent uitgelogd van het PlayStation™Network. Verbind met het PlayStation™Network om Leiderborden te zien.
Items that typically attach to the terrain with a stem will spawn with their stems when placed in Sandbox mode|Voorwerpen dat typisch gezien vastzitten aan het terrein met een stengel zullen daarmee verschijnen als ze geplaatst worden in de Sandbox modus
... You're getting quite good at this you know. A little archeologist beast.<LINE>Now, let's see what it says.|... Je wordt hier best wel goed in, weet je. Een klein archeoloog-beest.<LINE>Nou, laat eens kijken wat erop staat.
You cannot use PlayStation™Network features in this application due to age restrictions.|Je kan PlayStation™Network functies niet gebruiken in de applicatie vanwege leeftijdsrestricties.
The following cheats unlock content you would normally unlock via finding unlock tokens.|De volgende cheats ontgrendelen inhoud die je normaal gesproken krijgt door ontgrendel tokens te vinden.
ConfigMenuTab_ModPercentageButton_MouseDisableAll|Klik om alle mods uit te schakelen
This mod does not have any configurable settings.|Deze mod heeft niet zijn eigen Remix gebruikersinterface of configuraties.
Thank you little creature. I must resume my work.|Dank je wel, klein wezen. Ik moet verder met mijn werk.
Thank you. I must ask you... Don't do that again.|Dank je. Ik moet je vragen... om dat niet weer te doen.
Stops Scavengers from being able to steal the spear off of Hunter's back|Laat Schooiers geen speren van De Jager's rug stelen
Gives additional options for the directions and ways that objects can be thrown in certain circumstances|Sta het naar boven gooien van speren toe tijdens een backflip naast het naar beneden gooien
Periodically shows tips and tutorials during the loading screen between cycles|Laad periodiek tips en tutorials zien tijdens het laadscherm tussen cyclussen
Adds an additional trajectory of throwing grenades if the up direction is held|Voegt een aanvullend traject toe voor het gooien van granaten wanneer de Omhoog-richting wordt ingedrukt
Introduces a few additional in-game tutorial messages for certain mechanics and scenarios|Introduceert een aantal aanvullende in-spel tutorial berichten voor bepaalde mechanieken en scenarios
All cycles will have the same duration, and will always use the longest duration possible|Alle cyclussen hebben dezelfde duur, en gebruiken altijd de langste duur mogelijk
You should try the 'Monk-style Gates' option first before resorting to using this option.|Je kunt eerst de 'Monnik-stijl Poorten' proberen voordat je deze optie gebruikt.
Increases the amount of time that rocks and snail pops can cause some creatures to be stunned for|Vergroot voor hoe lang stenen en slakken ploppen bepaalde wezens kunnen verdoven
Dynamic difficulty is influenced by number of regions visited more than number of cycles survived|Dynamische moeilijkheid wordt meer beïnvloed door het aantal bezochte gebieden dan het aantal overleefde cyclussen
Gives a chance of escaping from different grasps by rapidly wiggling with the movement buttons|Geeft een kans tot ontsnapping uit verschillende houdgrepen door snel te kronkelen met de bewegingsknoppen
Multiplies the total duration of the shortened rain timer by this amount in Rivulet's Campaign|Vermenigvuldigt de totale duur van de verkorte regen timer in De Waterrat's campagne met deze hoeveelheid in.
Prevents Jetfish from being able to knock items out of your hands|Voorkomt Straalvissen ervan om voorwerpen uit je handen te knokken
